Name,City,Address,Rating_City,Rating_Food,Rating_Service,Rating_Value,Rating_Ambience,Rating_total,Rating_Excellent,Rating_Very_Good,Rating_Average,Rating_Bad,Rating_Very_Bad,Reviews,Type,Remarks,Expensive,Price,URL,Phone,Num_of_days,Menu
Hungaryto,מחוז ברצלונה,"‪Arago 353‬ (Pg. Sant Joan), 08011 ברצלונה ספרד","מס' 71 מתוך 8,850 מסעדות בברצלונה",45.0,50.0,45.0,45.0,4.5,347,53,5,3,10,418,הונגרי,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,54 ₪ - 145 ₪,http://www.hungaryto.com/,+34 932 08 03 28,,https://hungaryto.com/la-carta
Colibri Brunch,מחוז ברצלונה,,,,,,,4.5,337,38,11,7,21,414,"בר, אירופאי, אמריקאי, בית קפה, אנגלי",אפשרויות ללא גלוטן,,18 ₪ - 54 ₪,,,,
Miss Simona Cafe Brunch & Tapas,מחוז ברצלונה,,,,,,,5.0,178,12,8,3,2,203,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת בוקר, ארוחת צהריים, בראנץ', משקאות",,"איטלקי, בית קפה, ים תיכוני, ספרדי, בריא",,,6.0,
Colom,מחוז ברצלונה,"‪Escudellers, 33‬, 08002 ברצלונה ספרד",מס' 24 מתוך 797 קטלאנית בברצלונה,40.0,40.0,40.0,40.0,4.5,"6,255",864,329,193,225,"7,866","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת צהריים, ארוחת ערב, שעות הלילה המאוחרות",‪$$ - $$$‬,"בר, מאכלי ים, ים תיכוני, אירופאי, ספרדי, בריא, קטלאנית",http://www.facebook.com/pages/Colom%20Restaurant/2026230204369890/,,7.0,
Cellarer Wine Bar,מחוז ברצלונה,"‪Mallorca 211‬, 08036 ברצלונה ספרד","מס' 91 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,45.0,,5.0,266,33,6,1,6,312,"ים תיכוני, אירופאי, ספרדי, בר יין, קטלאנית","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,36 ₪ - 145 ₪,http://www.facebook.com/CELLARERWINEBAR/,+34 934 51 72 33,,https://cellarerbar211.wixsite.com/mysite/nuestra-carta-menu
Casa Cheli,מחוז ברצלונה,"‪Roger de Flor 226‬, 08025 ברצלונה ספרד","מס' 92 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,45.0,,5.0,171,8,9,4,1,193,"ים תיכוני, אירופאי, ספרדי, בריא","ידידותי לצמחוניים, אפשרויות ללא גלוטן",‪$$ - $$$‬,65 ₪ - 181 ₪,http://casacheli.com/,+34 936 60 77 26,6.0,http://www.casacheli.com/cartamenus.html
Restaurante Renoi,מחוז ברצלונה,"‪c/ VALENCIA 509‬ Entre c/ Castillejos y c/ Cartagena, 08013 ברצלונה ספרד","מס' 95 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,45.0,,5.0,170,27,5,0,3,205,"ידידותי לצמחוניים, אפשרויות ללא גלוטן","ארוחת צהריים, ארוחת ערב",‪$$ - $$$‬,"ים תיכוני, ספרדי, קטלאנית",http://www.facebook.com/pages/Restaurante-Renoi/549250702194693,+34 935 14 12 24,,
En Diagonal Bar,מחוז ברצלונה,"‪Avenida Diagonal, 310‬, 08013 ברצלונה ספרד","מס' 99 מתוך 8,850 מסעדות בברצלונה",45.0,50.0,50.0,50.0,4.5,579,119,27,8,7,740,"בית קפה, ים תיכוני, אירופאי, ספרדי, קטלאנית","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",$,36 ₪ - 145 ₪,http://www.facebook.com/endiagonalbar,+34 934 59 40 60,,
Gran Viana,מחוז ברצלונה,"‪Carrer Dels Escudellers 24‬, 08002 ברצלונה ספרד","מס' 101 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,45.0,,5.0,436,68,16,4,3,527,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת צהריים, ארוחת ערב",‪$$ - $$$‬,"בינלאומי, ספרדי, ים תיכוני, אירופאי, קטלאנית, פיוז'ן",https://www.facebook.com/Gran-Viana-Barcelona-356882685047329/,+34 933 48 55 94,5.0,
Restaurante Out of India,מחוז ברצלונה,,,,,,,4.5,83,30,5,7,3,128,הודי,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",,25 ₪ - 90 ₪,,,7.0,
Argentinisimo,מחוז ברצלונה,"‪C/ Casanova 70‬ Local, 08011 ברצלונה ספרד","מס' 110 מתוך 8,850 מסעדות בברצלונה",45.0,50.0,45.0,,4.5,534,68,14,9,13,638,"מסעדת סטייקים, לטיני, ברביקיו, ארגנטינאי","ידידותי לצמחוניים, אפשרויות לטבעונים",$,7 ₪ - 90 ₪,http://www.argentinisimo.es/,+34 629 67 00 29,7.0,
Tast-Ller,מחוז ברצלונה,"‪Calle Viladomat 137‬, 08002 ברצלונה ספרד","מס' 111 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,45.0,50.0,4.5,722,75,22,14,13,846,ים תיכוני,ארוחת ערב,$$$$,181 ₪ - 290 ₪,http://www.tast-ller.com/,+34 692 82 83 14,5.0,https://www.tast-ller.com/
Restaurante Terra Mía,מחוז ברצלונה,"‪Carrer de Ramiro de Maeztu, 31‬, 08024 ברצלונה ספרד","מס' 121 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,45.0,4.5,349,110,19,9,5,492,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת צהריים, ארוחת ערב, בראנץ', משקאות",‪$$ - $$$‬,"איטלקי, ים תיכוני, אירופאי, ספרדי",https://www.terramiabarcelona.com/es/,+34 931 86 30 99,7.0,
Restaurante Fastuc,מחוז ברצלונה,"‪Carrer d'Oliana 14‬, 08006 ברצלונה ספרד","מס' 122 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,,4.5,112,20,8,1,0,141,"איטלקי, ים תיכוני, אירופאי, סיציליאני, דרום איטלקי","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,109 ₪ - 199 ₪,http://www.restaurantefastuc.es/,+34 931 78 52 11,,https://www.tripadvisor.co.il/Restaurant_Review-g187497-d13829590-Reviews-Restaurante_Fastuc-Barcelona_Catalonia.html#
Oria Restaurant,מחוז ברצלונה,,,,,,,4.5,767,152,51,14,9,993,"ים תיכוני, אירופאי, ספרדי, בריא","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",,199 ₪ - 434 ₪,,,5.0,
Futballarium Barcelona,מחוז ברצלונה,"‪Carrer de Benavent 7.‬ Up against the gate no.18 Camp Nou, 08028 ברצלונה ספרד","מס' 129 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,50.0,50.0,4.5,470,32,20,11,18,551,"בר, פאב, הונגרי, בינלאומי","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,36 ₪ - 72 ₪,http://www.futballarium.com/,+34 603 13 44 41,,https://futballarium.com/etlap/
Cal Trapella - Cuina de Mercat,מחוז ברצלונה,"‪Carrer de Francisco Giner 22‬, 08012 ברצלונה ספרד","מס' 131 מתוך 8,850 מסעדות בברצלונה",45.0,50.0,45.0,,5.0,234,31,5,2,5,277,"ים תיכוני, ספרדי, בריא, קטלאנית",ידידותי לצמחוניים,‪$$ - $$$‬,54 ₪ - 109 ₪,http://www.caltrapella.com/,+34 662 62 80 58,6.0,https://www.tripadvisor.co.il/Restaurant_Review-g187497-d16694429-Reviews-Cal_Trapella_Cuina_de_Mercat-Barcelona_Catalonia.html#
Monster Sushi - Girona 68,מחוז ברצלונה,,,,,,,5.0,3,0,0,0,0,3,"יפני, סושי, אסייתי, פיוז'ן, פיוז'ן יפני","ארוחת צהריים, ארוחת ערב, שעות הלילה המאוחרות, משקאות",,72 ₪ - 163 ₪,,,7.0,
Paella Bar Boqueria,מחוז ברצלונה,"‪Portics de la Boqueria Locals 6-7‬ Mercat de la Boqueria, 08001 ברצלונה ספרד","מס' 140 מתוך 8,850 מסעדות בברצלונה",45.0,40.0,40.0,45.0,4.5,528,206,69,36,31,870,"מאכלי ים, ים תיכוני, אירופאי, ספרדי, בריא, קטלאנית","ידידותי לצמחוניים, אפשרויות לטבעונים",‪$$ - $$$‬,83 ₪ - 181 ₪,http://www.pepatomategrup.com/,+34 933 48 77 83,6.0,
Agreste de Fabio & Roser,מחוז ברצלונה,"‪Carrer Funoses Llussa 2‬, 08023 ברצלונה ספרד","מס' 141 מתוך 8,850 מסעדות בברצלונה",50.0,50.0,45.0,,4.5,229,52,8,6,2,297,"ים תיכוני, אירופאי, ספרדי, בריא","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",$$$$,58 ₪ - 253 ₪,http://www.agreste.cat/,+34 932 13 50 05,6.0,http://www.agreste.cat/menu
Minamo,מחוז ברצלונה,"‪Bruc 65‬ Next to Consell de Cent, 08009 ברצלונה ספרד","מס' 151 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,50.0,4.5,310,49,11,7,8,385,אפשרויות ללא גלוטן,"ארוחת צהריים, ארוחת ערב, שעות הלילה המאוחרות",$$$$,"יפני, סושי, אסייתי",http://www.minamo.es/,+34 934 67 38 00,,http://www.minamo.es/index.php/menu-esp
Mastico.,מחוז ברצלונה,"‪Moline 1-3‬, 08006 ברצלונה ספרד","מס' 152 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,,4.5,412,94,32,9,3,550,"ים תיכוני, אירופאי, ספרדי, בריא, קטלאנית",אפשרויות ללא גלוטן,‪$$ - $$$‬,72 ₪ - 127 ₪,http://www.masticobarcelona.com/,+34 937 60 91 28,7.0,
Patagonia Beef & Wine,מחוז ברצלונה,"‪Gran Via de Les Corts Catalanes, 660‬ esquina Roger de Lluria, 08010 ברצלונה ספרד","מס' 155 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,40.0,40.0,4.5,"1,398",491,134,30,25,"2,078","מסעדת סטייקים, ארגנטינאי",אפשרויות ללא גלוטן,$$$$,109 ₪ - 145 ₪,http://www.patagoniabw.com/,+34 933 04 37 35,,http://www.patagoniabw.com/menu-restaurante
A Tu Bola,מחוז ברצלונה,"‪Carrer de l'Hospital, 78‬, 08001 ברצלונה ספרד","מס' 159 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,50.0,4.5,"1,034",271,61,15,13,"1,394","מזון מהיר, ים תיכוני, בריא, בינלאומי, פיוז'ן","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",$,14 ₪ - 54 ₪,http://www.atubolarest.com/,+34 933 15 32 44,,https://www.ubereats.com/es/barcelona/food-delivery/a-tu-bola/5r0NAydlRb6wLbys1KpcSQ
Rasoi,מחוז ברצלונה,"‪C/ Londres 63‬ Local 3, 08036 ברצלונה ספרד","מס' 161 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,,4.5,259,50,10,5,7,331,"הודי, אסייתי","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,65 ₪ - 101 ₪,http://rasoibcn.com/,+34 931 17 05 61,6.0,https://rasoibcn.com/menus/
La Textil,מחוז ברצלונה,,,,,,,3.5,5,2,4,4,0,15,"ארגנטינאי, פאב מבשלה, ברביקיו, גריל, פאב, קטלאנית","ארוחת בוקר, ארוחת צהריים, ארוחת ערב, שעות הלילה המאוחרות, משקאות",,72 ₪ - 127 ₪,,,,
Gurú Food & Cocktails,מחוז ברצלונה,"‪Josep Anslem Clave 19‬, 08002 ברצלונה ספרד","מס' 170 מתוך 8,850 מסעדות בברצלונה",45.0,50.0,45.0,50.0,4.5,820,199,45,13,12,"1,089","בר, ים תיכוני, אירופאי, ספרדי, בינלאומי",אפשרויות ללא גלוטן,‪$$ - $$$‬,69 ₪ - 145 ₪,http://www.panteagroup.es/guru-lounge-club/,+34 933 42 64 22,,
Red Garter Barcelona,מחוז ברצלונה,"‪Passeig de Colom 23‬ 08002, 08002 ברצלונה ספרד","מס' 171 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,,4.5,211,43,10,6,6,276,"ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת בוקר, ארוחת צהריים, ארוחת ערב, בראנץ', שעות הלילה המאוחרות, משקאות",‪$$ - $$$‬,"מסעדת סטייקים, אמריקאי, בר, גסטרופאב",http://www.redgarter1962.com/,+34 938 07 36 41,,https://redgarter1962.com/en/menu/
El Xampanyet,מחוז ברצלונה,"‪Carrer de Montcada, 22‬, 08003 ברצלונה ספרד","מס' 182 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,40.0,45.0,4.5,"1,847",640,146,42,53,"2,728","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת צהריים, ארוחת ערב",‪$$ - $$$‬,"אירופאי, ספרדי, קטלאנית",http://www.elxampanyet.com/,+34 933 19 70 03,,
Carlota Akaneya,מחוז ברצלונה,"‪Pintor Fortuny 32‬, 08001 ברצלונה ספרד","מס' 185 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,45.0,4.5,999,265,51,28,18,"1,361","ברביקיו, יפני, אסייתי, בריא",ארוחת ערב,$$$$,145 ₪ - 253 ₪,http://www.carlotaakaneya.com/,+34 933 02 77 68,7.0,
Meson Barceloneta,מחוז ברצלונה,"‪Paseo Juan de Borbo' 10‬ Barceloneta, 08003 ברצלונה ספרד","מס' 189 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,40.0,,4.5,752,319,70,16,9,"1,166","אירופאי, בריא, קטלאנית","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,54 ₪ - 109 ₪,http://mesonbarceloneta.com/,+34 933 10 37 09,5.0,http://mesonbarceloneta.com/menus/tapas/
BENZiNA,מחוז ברצלונה,"‪Passatge de Pere Calders, 6‬, 08015 ברצלונה ספרד","מס' 191 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,,4.5,223,34,11,5,6,279,"איטלקי, ים תיכוני, אירופאי, בריא, רומאי, לאציו","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,86 ₪ - 173 ₪,http://www.benzina.es/,+34 936 59 55 83,5.0,https://www.benzina.es/?lang=en
Indian Palace,מחוז ברצלונה,,,,,,,2.5,0,0,1,1,0,2,"הודי, בית קפה","ארוחת צהריים, ארוחת ערב, משקאות",,52 ₪ - 62 ₪,,,,
Volta al Món,מחוז ברצלונה,"‪Calle Muntaner, 51‬ Local 2, 08011 ברצלונה ספרד","מס' 200 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,45.0,4.5,387,122,33,7,7,556,"בינלאומי, ים תיכוני, אירופאי, ספרדי, אסייתי, דרום אמריקאי",ידידותי לצמחוניים,‪$$ - $$$‬,90 ₪ - 181 ₪,http://www.voltaalmon.es/,+34 934 54 25 31,5.0,http://www.voltaalmon.es/index.php/carta/carta-noche
Cala Rossita,מחוז ברצלונה,"‪Avinguda Diagonal, 3‬ C.C. Diagonal Mar - Terraza del Mar, 08019 ברצלונה ספרד","מס' 201 מתוך 8,850 מסעדות בברצלונה",40.0,45.0,40.0,,4.5,174,45,12,2,6,239,"אפשרויות לטבעונים, אפשרויות ללא גלוטן","ארוחת צהריים, ארוחת ערב, משקאות",‪$$ - $$$‬,"ים תיכוני, ספרדי, בריא, קטלאנית",http://calarossita.com/,+34 933 56 23 35,7.0,
La Dentellière,מחוז ברצלונה,"‪Carrer Ample, 26‬, 08002 ברצלונה ספרד","מס' 211 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,45.0,4.5,628,184,54,35,19,920,"דיינר, ספרדי, בריא, קטלאנית","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,62 ₪ - 110 ₪,http://www.ladentellierebarcelona.com/,+34 933 19 68 21,6.0,https://ladentellierebarcelona.com/menu/
La Taula,מחוז ברצלונה,"‪Sant Marius, 8‬ 08022 Barcelona, 08022 ברצלונה ספרד","מס' 212 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,45.0,4.5,170,66,6,2,3,247,"ים תיכוני, אירופאי, ספרדי",ידידותי לצמחוניים,‪$$ - $$$‬,36 ₪ - 94 ₪,http://www.lataula.com/,+34 934 17 28 48,,
Orvay,מחוז ברצלונה,"‪Passeig del Born 4‬, 08003 ברצלונה ספרד","מס' 215 מתוך 8,850 מסעדות בברצלונה",45.0,50.0,45.0,,4.5,164,38,9,6,2,219,"ים תיכוני, ספרדי, בריא, אירופאי, בר יין, קטלאנית","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,54 ₪ - 109 ₪,http://orvayborn.com/,+34 938 32 45 04,,https://www.tripadvisor.co.il/Restaurant_Review-g187497-d13238798-Reviews-Orvay-Barcelona_Catalonia.html#
Pasapalo,מחוז ברצלונה,"‪Carrer Del Poeta Cabanyes, 6‬ Poble Sec, 08004 ברצלונה ספרד","מס' 219 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,,4.5,205,56,8,8,4,281,"לטיני, בינלאומי, ונצואלי","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,11 ₪ - 29 ₪,http://pasapalobarcelona.es/,+34 934 63 60 89,,
Caramba,מחוז ברצלונה,"‪Carrer de la Cera 57‬, 08001 ברצלונה ספרד","מס' 221 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,40.0,4.5,442,166,24,14,6,652,"ים תיכוני, אירופאי","ידידותי לצמחוניים, אפשרויות לטבעונים, אפשרויות ללא גלוטן",‪$$ - $$$‬,25 ₪ - 51 ₪,http://www.facebook.com/CarambaBCN,+34 934 43 00 18,,
Papanato Bar de Patatas,מחוז ברצלונה,,,,,,,4.0,0,1,0,0,0,1,,,,"ארוחת צהריים, ארוחת ערב",,,,
Pizza Circus,מחוז ברצלונה,"‪Carrer Nou de la Rambla 40‬, 08001 ברצלונה ספרד","מס' 232 מתוך 8,850 מסעדות בברצלונה",45.0,45.0,45.0,,4.5,519,163,19,8,9,718,"ידידותי לצמחוניים, אפשרויות לטבעונים","ארוחת צהריים, ארוחת ערב",$,"איטלקי, פיצה, מזון מהיר, אירופאי",http://www.pizzacircusbcn.com/,+34 934 12 38 10,,
